,Model,dataset,Replacement Strategy,accuracy,time,features
450,Decision Trees,housing,Separate models,99.16049515,159.3409617,13
451,Decision Trees,housing,Zero,80.36843796043851,2.9770899680000002e-05,13
452,Decision Trees,housing,Mean,96.35923787,3.109443687e-05,13
454,Decision Trees,housing,Uniform,80.36843796043851,0.0009427627087,13
455,Decision Trees,housing,Marginal,96.35923788,0.017338899999999997,13
456,Decision Trees,housing,Conditional,96.35923795,0.193628,13
457,Decision Trees,housing,Gaussian,96.35923782,0.503504,13
458,Decision Trees,housing,Copula,96.35923782,0.503504,13
459,Decision Trees,htwtindex,Separate models,99.56424164,0.021048069,3
460,Decision Trees,htwtindex,Zero,80.36843796043851,1.126326937e-05,3
461,Decision Trees,htwtindex,Mean,80.36843796043851,1.083756938e-05,3
