dataset,Replacement Strategy,accuracy,time,features
412,housing,Mean,98.49374378666666,0.0396357010856666,13.0
413,housing,Separate models,99.50515952,96793.13052723334,13.0
414,housing,Uniform,0.0,1.9854700514666668,13.0
415,housing,Zero,26.55920611333333,0.038852675946,13.0
416,htwtindex,Conditional,99.78470363,0.0071215,3.0
417,htwtindex,Copula,99.7847036125,0.006494,3.0
418,htwtindex,Gaussian,99.78470376,0.00652725,3.0
419,htwtindex,Marginal,99.78470364,0.00767475,3.0
420,htwtindex,Mean,14.34627589,0.0558901219575,3.0
421,htwtindex,Separate models,99.7868303125,42.4121880635,3.0
422,htwtindex,Uniform,0.0,3.124459642025,3.0
423,htwtindex,Zero,6.4103957275,0.0443850383634999,3.0
424,hybrid,Conditional,96.8539223275,0.0338915,11.0
425,hybrid,Copula,96.853922595,0.0376975,11.0
426,hybrid,Gaussian,96.8539219675,0.039644,11.0
427,hybrid,Marginal,96.8539221975,0.0366515,11.0
428,hybrid,Mean,67.4236429525,0.132060883081,11.0
429,hybrid,Separate models,96.8356803425,16925.353272405002,11.0
430,hybrid,Uniform,59.129904852500005,2.69649113045,11.0
431,hybrid,Zero,23.7511654975,0.119471618939,11.0
432,income,Conditional,99.7045021,0.21156,13.0
433,income,Copula,99.70450218,0.248911,13.0
434,income,Gaussian,99.7045021,0.21006,13.0
435,income,Marginal,99.7045021,0.20656,13.0
436,income,Mean,99.798374505,0.0096479343635,13.0
437,income,Separate models,98.204789895,89331.114502,13.0
438,income,Uniform,1.4022886785,5.957462999,13.0
439,income,Zero,0.0,0.010785152334,13.0
440,insurance,Conditional,99.308969445,0.01172025,6.0
441,insurance,Copula,99.3089689175,0.012313,6.0
442,insurance,Gaussian,99.30896923,0.0105975,6.0
443,insurance,Marginal,99.3089694325,0.01021075,6.0
444,insurance,Mean,69.0790665775,0.08520554901275,6.0
445,insurance,Separate models,99.38890022,610.550890671625,6.0
446,insurance,Uniform,62.80531622,12.0880554134,6.0
447,insurance,Zero,6.1726870725000005,0.0849577970524999,6.0
448,iris,Conditional,99.870134042,0.0051868,4.0
449,iris,Copula,99.870134052,0.0056536,4.0
450,iris,Gaussian,99.870134074,0.0057224,4.0
