,Model,Algorithm,Dataset,MSE,R2,Time
4590,knn,Parametric,Salaries,0.8955936442334341,95.37284262750265,0.00592
4591,knn,Parametric,diabetes,0.19721700547461243,64.26489564497123,0.008395
4592,knn,Parametric,heart-c,0.2919048681509106,86.14954652332732,0.161615
4593,knn,Parametric,results,81.20082578046299,65.37104759708728,0.006105
4594,knn,Parametric,SacramentocrimeJanuary2006,759496.6782184552,94.19455396897366,0.009887
4595,knn,Parametric,v3_Latest_Data_Science_Salaries,442.9315425356813,73.50182941669901,0.019904
4596,knn,Parametric,insurance,0.36589602519337416,74.41225715123649,0.005482
4597,knn,Parametric,wine,0.8591872896180807,76.87287750854897,0.148852
4598,knn,Parametric,hungarian-heart-disease,0.1765154267176972,89.97757817818368,0.353639
4599,knn,Parametric,laptop_price,18.1503985849312,60.82164005751336,0.08058
4600,knn,Parametric,pima-indians-diabetes,1.2444331909466673,93.2741869298825,0.015092
4601,knn,Parametric,tic-tac-toe,0.5174849402436409,79.15331136615853,0.014341
4602,knn,Parametric,Titanic_Test,87.42846902183939,67.02518296238652,0.027997
4603,knn,Parametric,haberman,0.16701267846653278,74.54028837837544,0.005364
4604,knn,Parametric,ElectronicsData,47.6836111395962,72.65868102083135,0.006135
4605,knn,Parametric,500_Person_Gender_Height_Weight_Index,0.36458465813365365,90.1645682534306,0.005366
4606,knn,Parametric,births,0.3744764757389205,94.54131507596064,0.005593
4607,knn,Parametric,Cust_Segmentation,24.906042579981385,90.63043333151657,0.01701
4608,knn,Parametric,drug_dt,0.43620110976532095,75.92728562537609,0.005246
4609,knn,Parametric,Data_Uk,10421.347257452566,99.53544438020835,0.022851
4610,knn,Parametric,heart-statlog,0.32181033621354865,85.51424113367989,0.155608
4611,knn,Parametric,phoneme,0.12252288701380161,82.13450924307087,0.005684
4612,knn,Parametric,Churn_Modelling,154714.83066098436,85.67663754579836,0.191282
4613,knn,Parametric,wilt,0.004406820795648406,88.52390417799893,0.005743
4614,knn,Parametric,airport-frequencies,7829171.78486182,97.51497925878499,0.005979
4615,knn,Parametric,magic,0.5391354073878905,80.65145880076385,0.021444
4616,knn,Parametric,sales-records,4.505921064822105,80.08805252124299,0.201816
4617,knn,Parametric,hayes-roth,0.6924292949376445,91.26691619981109,0.00477
4618,knn,Parametric,housing,2.1190444364251544,61.835940349345385,0.028556
4619,knn,Parametric,monk-2,0.19677005508096507,82.65967290184074,0.005483
4620,knn,Parametric,FuelConsumption,106.69152457855587,60.2128967152423,0.079912
4621,knn,Parametric,cleveland,0.7955709237783587,85.66238198943894,0.307489
4622,knn,Parametric,Titanic_Data,1085.3043663727253,62.02947328473382,0.031949
4623,knn,Parametric,employees,1367.4056813077423,65.41839475717609,0.007085
4624,knn,Parametric,Mall_Customers,0.336789651030677,93.77123824511808,0.004929
4625,knn,Parametric,50_Startups,0.832569930985923,96.18386700748758,0.004308
4626,knn,Parametric,weight-height,0.38175420274694394,90.19750482335596,0.004968
4627,knn,Parametric,AirPassengers,6476.082139756944,98.2092783674119,0.005118
4628,knn,Parametric,titanic,0.363204976413132,89.5679694159359,0.005334
4629,knn,Parametric,imdrating,29474.130607334802,84.46021128846883,0.005783
4630,knn,Parametric,advertising_classification,18214.06052708363,78.73212246863021,0.014445
4631,knn,Parametric,Bmi_male_female,0.36458465813365365,66.45486214891747,0.005653
4632,knn,Parametric,FuelConsumptionCo2,106.69152457855587,81.07276234694876,0.078584
4633,knn,Parametric,poker-hand,0.40999630082423605,66.75844434299933,0.023871
4634,knn,Parametric,iris,0.8957922881531032,73.61001401267175,0.004893
4635,knn,Parametric,crime_data,116.9450015055935,69.63669521826003,0.004348
4636,knn,Parametric,census_data,1.4962988384932365,72.46416298921085,0.242418
4637,knn,Parametric,balance-scale,1.2266789715126178,61.46473756905287,0.005491
4638,knn,Parametric,car,0.9781994191793822,85.46978262086897,0.006912
4639,knn,Parametric,bupa-liver-disorders,0.46340528003355813,79.581268619341,0.006451
4640,knn,Parametric,jobs_in_data,655.3250123357705,60.05776357108578,0.041859
4641,knn,Parametric,movie_data,178331.78409220013,81.05903606715094,0.005503
4642,knn,Parametric,cars,544.3328036425127,87.56418788323317,0.007122
4643,knn,Parametric,uforeports,117455.37590077921,72.30585627314015,0.005468
4644,knn,Parametric,monk-3,0.4368070363367952,90.4824523275912,0.006367
